"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NC_0011749.1","NC_007941.1","NC_013175.1","NC_013655.1","NC_017630.1","NZ_CP007150.1","NZ_CP010882.1","NZ_CP012634.1","NZ_CP014493.1","NZ_CP014496.1","NZ_CP014498.1","NZ_CP014523.1","NZ_CP014668.1","NZ_CP015131.1","NZ_CP015160.1","NZ_CP018952.1"
"group_182","","hypothetical protein","16","16","1","1","316","","","","305","305","305","PPNGLMBF_00091","AFBCLFAJ_00116","LBLEHJFL_00117","EBLMJKPD_00029","CIDCPHMN_00022","CFLCBKEF_00122","EMANLNOE_00059","BOFEBHGI_00058","DHNEMLFG_00039","EFDDGJBK_00061","LBMCKPDB_00027","IHJENLPO_00028","CFKICFFG_00103","IFAGOEOF_00013","LJFFEAFL_00109","MOLELEAL_00109"
"group_184","","hypothetical protein","16","16","1","1","285","","","","350","566","552","PPNGLMBF_00105","AFBCLFAJ_00102","LBLEHJFL_00102","EBLMJKPD_00015","CIDCPHMN_00036","CFLCBKEF_00108","EMANLNOE_00047","BOFEBHGI_00072","DHNEMLFG_00055","EFDDGJBK_00075","LBMCKPDB_00039","IHJENLPO_00042","CFKICFFG_00089","IFAGOEOF_00027","LJFFEAFL_00213","MOLELEAL_00097"
"group_188","","hypothetical protein","16","16","1","1","279","","","","509","509","509","PPNGLMBF_00112","AFBCLFAJ_00096","LBLEHJFL_00096","EBLMJKPD_00009","CIDCPHMN_00042","CFLCBKEF_00102","EMANLNOE_00041","BOFEBHGI_00078","DHNEMLFG_00062","EFDDGJBK_00081","LBMCKPDB_00046","IHJENLPO_00048","CFKICFFG_00083","IFAGOEOF_00033","LJFFEAFL_00219","MOLELEAL_00091"
"group_22","","hypothetical protein","16","16","1","1","465","","","","743","1022","1004","PPNGLMBF_00010","AFBCLFAJ_00044","LBLEHJFL_00043","EBLMJKPD_00105","CIDCPHMN_00097","CFLCBKEF_00046","EMANLNOE_00104","BOFEBHGI_00134","DHNEMLFG_00114","EFDDGJBK_00136","LBMCKPDB_00103","IHJENLPO_00103","CFKICFFG_00030","IFAGOEOF_00082","LJFFEAFL_00010","MOLELEAL_00031"
"ltrA","","Group II intron-encoded protein LtrA","16","16","1","1","482","","","","488","503","502","PPNGLMBF_00036","AFBCLFAJ_00018","LBLEHJFL_00018","EBLMJKPD_00079","CIDCPHMN_00125","CFLCBKEF_00019","EMANLNOE_00131","BOFEBHGI_00019","DHNEMLFG_00139","EFDDGJBK_00019","LBMCKPDB_00125","IHJENLPO_00127","CFKICFFG_00019","IFAGOEOF_00106","LJFFEAFL_00034","MOLELEAL_00006"
"group_47","","hypothetical protein","16","16","1","1","288","","","","638","1451","1372","PPNGLMBF_00103","AFBCLFAJ_00104","LBLEHJFL_00105","EBLMJKPD_00017","CIDCPHMN_00034","CFLCBKEF_00110","EMANLNOE_00049","BOFEBHGI_00070","DHNEMLFG_00052","EFDDGJBK_00073","LBMCKPDB_00037","IHJENLPO_00040","CFKICFFG_00091","IFAGOEOF_00025","LJFFEAFL_00211","MOLELEAL_00099"
"group_479","","hypothetical protein","16","16","1","1","485","","","","485","485","485","PPNGLMBF_00039","AFBCLFAJ_00015","LBLEHJFL_00015","EBLMJKPD_00076","CIDCPHMN_00128","CFLCBKEF_00016","EMANLNOE_00134","BOFEBHGI_00022","DHNEMLFG_00142","EFDDGJBK_00022","LBMCKPDB_00128","IHJENLPO_00130","CFKICFFG_00016","IFAGOEOF_00109","LJFFEAFL_00037","MOLELEAL_00003"
"group_480","","putative protein","16","16","1","1","461","","","","791","791","791","PPNGLMBF_00007","AFBCLFAJ_00047","LBLEHJFL_00046","EBLMJKPD_00108","CIDCPHMN_00094","CFLCBKEF_00049","EMANLNOE_00101","BOFEBHGI_00131","DHNEMLFG_00111","EFDDGJBK_00133","LBMCKPDB_00100","IHJENLPO_00100","CFKICFFG_00033","IFAGOEOF_00079","LJFFEAFL_00007","MOLELEAL_00034"
"group_481","","hypothetical protein","16","16","1","1","519","","","","191","191","191","PPNGLMBF_00130","AFBCLFAJ_00080","LBLEHJFL_00080","EBLMJKPD_00143","CIDCPHMN_00059","CFLCBKEF_00084","EMANLNOE_00026","BOFEBHGI_00096","DHNEMLFG_00078","EFDDGJBK_00099","LBMCKPDB_00062","IHJENLPO_00066","CFKICFFG_00066","IFAGOEOF_00046","LJFFEAFL_00236","MOLELEAL_00076"
"group_484","","hypothetical protein","16","16","1","1","483","","","","320","320","320","PPNGLMBF_00037","AFBCLFAJ_00017","LBLEHJFL_00017","EBLMJKPD_00078","CIDCPHMN_00126","CFLCBKEF_00018","EMANLNOE_00132","BOFEBHGI_00020","DHNEMLFG_00140","EFDDGJBK_00020","LBMCKPDB_00126","IHJENLPO_00128","CFKICFFG_00018","IFAGOEOF_00107","LJFFEAFL_00035","MOLELEAL_00005"
"ybbA","","YbbA/YbbP ABC transporter","16","16","1","1","487","","","","695","695","695","PPNGLMBF_00041","AFBCLFAJ_00013","LBLEHJFL_00013","EBLMJKPD_00074","CIDCPHMN_00130","CFLCBKEF_00014","EMANLNOE_00136","BOFEBHGI_00024","DHNEMLFG_00145","EFDDGJBK_00024","LBMCKPDB_00130","IHJENLPO_00132","CFKICFFG_00014","IFAGOEOF_00111","LJFFEAFL_00039","MOLELEAL_00001"
"ccdA","","Antitoxin CcdA","16","16","1","1","434","","","","218","218","218","PPNGLMBF_00153","AFBCLFAJ_00056","LBLEHJFL_00056","EBLMJKPD_00118","CIDCPHMN_00084","CFLCBKEF_00060","EMANLNOE_00010","BOFEBHGI_00121","DHNEMLFG_00101","EFDDGJBK_00123","LBMCKPDB_00076","IHJENLPO_00090","CFKICFFG_00042","IFAGOEOF_00069","LJFFEAFL_00260","MOLELEAL_00061"
"traY","","Relaxosome protein TraY","16","16","1","1","282","","","","227","227","227","PPNGLMBF_00109","AFBCLFAJ_00099","LBLEHJFL_00099","EBLMJKPD_00012","CIDCPHMN_00039","CFLCBKEF_00105","EMANLNOE_00044","BOFEBHGI_00075","DHNEMLFG_00059","EFDDGJBK_00078","LBMCKPDB_00042","IHJENLPO_00045","CFKICFFG_00086","IFAGOEOF_00030","LJFFEAFL_00216","MOLELEAL_00094"
"nqrC","","Na(+)-translocating NADH-quinone reductase subunit C","16","16","1","1","492","","","","761","761","761","PPNGLMBF_00047","AFBCLFAJ_00007","LBLEHJFL_00007","EBLMJKPD_00068","CIDCPHMN_00135","CFLCBKEF_00007","EMANLNOE_00142","BOFEBHGI_00030","DHNEMLFG_00152","EFDDGJBK_00030","LBMCKPDB_00136","IHJENLPO_00138","CFKICFFG_00008","IFAGOEOF_00117","LJFFEAFL_00045","MOLELEAL_00145"
"group_498","","hypothetical protein","16","16","1","1","489","","","","1283","1283","1283","PPNGLMBF_00043","AFBCLFAJ_00011","LBLEHJFL_00011","EBLMJKPD_00072","CIDCPHMN_00132","CFLCBKEF_00012","EMANLNOE_00138","BOFEBHGI_00026","DHNEMLFG_00147","EFDDGJBK_00026","LBMCKPDB_00132","IHJENLPO_00134","CFKICFFG_00012","IFAGOEOF_00113","LJFFEAFL_00041","MOLELEAL_00149"
"group_499","","hypothetical protein","16","16","1","1","292","","","","221","221","221","PPNGLMBF_00098","AFBCLFAJ_00109","LBLEHJFL_00110","EBLMJKPD_00022","CIDCPHMN_00030","CFLCBKEF_00115","EMANLNOE_00053","BOFEBHGI_00065","DHNEMLFG_00047","EFDDGJBK_00068","LBMCKPDB_00033","IHJENLPO_00035","CFKICFFG_00096","IFAGOEOF_00020","LJFFEAFL_00206","MOLELEAL_00103"
"insC-1","","IS2 element protein InsA","16","16","1","1","458","","","","365","365","365","PPNGLMBF_00005","AFBCLFAJ_00049","LBLEHJFL_00048","EBLMJKPD_00110","CIDCPHMN_00092","CFLCBKEF_00052","EMANLNOE_00099","BOFEBHGI_00129","DHNEMLFG_00109","EFDDGJBK_00131","LBMCKPDB_00098","IHJENLPO_00098","CFKICFFG_00035","IFAGOEOF_00077","LJFFEAFL_00005","MOLELEAL_00036"
"ccdB","","Toxin CcdB","16","16","1","1","431","","","","305","305","305","PPNGLMBF_00152","AFBCLFAJ_00057","LBLEHJFL_00057","EBLMJKPD_00119","CIDCPHMN_00083","CFLCBKEF_00061","EMANLNOE_00011","BOFEBHGI_00120","DHNEMLFG_00100","EFDDGJBK_00122","LBMCKPDB_00075","IHJENLPO_00089","CFKICFFG_00043","IFAGOEOF_00068","LJFFEAFL_00259","MOLELEAL_00062"
"group_507","","IS21 family transposase IS100kyp","16","16","1","1","463","","","","776","779","778","PPNGLMBF_00009","AFBCLFAJ_00045","LBLEHJFL_00044","EBLMJKPD_00106","CIDCPHMN_00096","CFLCBKEF_00047","EMANLNOE_00103","BOFEBHGI_00133","DHNEMLFG_00113","EFDDGJBK_00135","LBMCKPDB_00102","IHJENLPO_00102","CFKICFFG_00031","IFAGOEOF_00081","LJFFEAFL_00009","MOLELEAL_00032"
"group_509","","hypothetical protein","16","16","1","1","528","","","","1361","1361","1361","PPNGLMBF_00126","AFBCLFAJ_00083","LBLEHJFL_00083","EBLMJKPD_00147","CIDCPHMN_00056","CFLCBKEF_00088","EMANLNOE_00029","BOFEBHGI_00092","DHNEMLFG_00074","EFDDGJBK_00095","LBMCKPDB_00060","IHJENLPO_00062","CFKICFFG_00069","IFAGOEOF_00043","LJFFEAFL_00233","MOLELEAL_00078"
"resA_2","","Thiol-disulfide oxidoreductase ResA","16","16","1","1","493","","","","506","506","506","PPNGLMBF_00048","AFBCLFAJ_00006","LBLEHJFL_00006","EBLMJKPD_00067","CIDCPHMN_00136","CFLCBKEF_00006","EMANLNOE_00143","BOFEBHGI_00031","DHNEMLFG_00153","EFDDGJBK_00031","LBMCKPDB_00137","IHJENLPO_00139","CFKICFFG_00007","IFAGOEOF_00118","LJFFEAFL_00046","MOLELEAL_00144"
"group_520","","hypothetical protein","16","16","1","1","327","","","","545","545","545","PPNGLMBF_00083","AFBCLFAJ_00124","LBLEHJFL_00125","EBLMJKPD_00037","CIDCPHMN_00014","CFLCBKEF_00130","EMANLNOE_00065","BOFEBHGI_00050","DHNEMLFG_00031","EFDDGJBK_00052","LBMCKPDB_00018","IHJENLPO_00019","CFKICFFG_00112","IFAGOEOF_00005","LJFFEAFL_00101","MOLELEAL_00118"
"group_522","","hypothetical protein","16","16","1","1","488","","","","1118","1130","1129","PPNGLMBF_00042","AFBCLFAJ_00012","LBLEHJFL_00012","EBLMJKPD_00073","CIDCPHMN_00131","CFLCBKEF_00013","EMANLNOE_00137","BOFEBHGI_00025","DHNEMLFG_00146","EFDDGJBK_00025","LBMCKPDB_00131","IHJENLPO_00133","CFKICFFG_00013","IFAGOEOF_00112","LJFFEAFL_00040","MOLELEAL_00150"
"group_523","","hypothetical protein","16","16","1","1","521","","","","230","230","230","PPNGLMBF_00127","AFBCLFAJ_00082","LBLEHJFL_00082","EBLMJKPD_00146","CIDCPHMN_00057","CFLCBKEF_00087","EMANLNOE_00028","BOFEBHGI_00093","DHNEMLFG_00075","EFDDGJBK_00096","LBMCKPDB_00061","IHJENLPO_00063","CFKICFFG_00068","IFAGOEOF_00044","LJFFEAFL_00234","MOLELEAL_00077"
"group_525","","hypothetical protein","16","16","1","1","284","","","","311","311","311","PPNGLMBF_00106","AFBCLFAJ_00101","LBLEHJFL_00101","EBLMJKPD_00014","CIDCPHMN_00037","CFLCBKEF_00107","EMANLNOE_00046","BOFEBHGI_00073","DHNEMLFG_00057","EFDDGJBK_00076","LBMCKPDB_00040","IHJENLPO_00043","CFKICFFG_00088","IFAGOEOF_00028","LJFFEAFL_00214","MOLELEAL_00096"
"group_60","","hypothetical protein","16","16","1","1","339","","","","185","779","710","PPNGLMBF_00076","AFBCLFAJ_00132","LBLEHJFL_00132","EBLMJKPD_00044","CIDCPHMN_00008","CFLCBKEF_00137","EMANLNOE_00072","BOFEBHGI_00043","DHNEMLFG_00020","EFDDGJBK_00044","LBMCKPDB_00011","IHJENLPO_00011","CFKICFFG_00120","IFAGOEOF_00176","LJFFEAFL_00094","MOLELEAL_00125"
"hemR","","Hemin receptor","16","16","1","1","460","","","","1091","1970","1899","PPNGLMBF_00006","AFBCLFAJ_00048","LBLEHJFL_00047","EBLMJKPD_00109","CIDCPHMN_00093","CFLCBKEF_00051","EMANLNOE_00100","BOFEBHGI_00130","DHNEMLFG_00110","EFDDGJBK_00132","LBMCKPDB_00099","IHJENLPO_00099","CFKICFFG_00034","IFAGOEOF_00078","LJFFEAFL_00006","MOLELEAL_00035"
"group_82","","hypothetical protein","16","16","1","1","342","","","","260","803","747","PPNGLMBF_00073","AFBCLFAJ_00135","LBLEHJFL_00135","EBLMJKPD_00051","CIDCPHMN_00005","CFLCBKEF_00140","EMANLNOE_00075","BOFEBHGI_00040","DHNEMLFG_00009","EFDDGJBK_00041","LBMCKPDB_00007","IHJENLPO_00007","CFKICFFG_00123","IFAGOEOF_00173","LJFFEAFL_00091","MOLELEAL_00128"
"group_88","","hypothetical protein","16","16","1","1","269","","","","719","749","720","PPNGLMBF_00118","AFBCLFAJ_00091","LBLEHJFL_00090","EBLMJKPD_00003","CIDCPHMN_00048","CFLCBKEF_00096","EMANLNOE_00036","BOFEBHGI_00084","DHNEMLFG_00067","EFDDGJBK_00087","LBMCKPDB_00053","IHJENLPO_00054","CFKICFFG_00077","IFAGOEOF_00037","LJFFEAFL_00225","MOLELEAL_00086"
"group_114","","hypothetical protein","15","15","1","1","78","1","136","","707","875","812","PPNGLMBF_00024","AFBCLFAJ_00028","LBLEHJFL_00028","EBLMJKPD_00090","CIDCPHMN_00114","CFLCBKEF_00030","EMANLNOE_00118","BOFEBHGI_00010","DHNEMLFG_00128","EFDDGJBK_00010","LBMCKPDB_00116","IHJENLPO_00117","","IFAGOEOF_00096","LJFFEAFL_00025","MOLELEAL_00013"
"group_119","","hypothetical protein","15","15","1","1","59","10","2","","1040","1379","1356","PPNGLMBF_00044","AFBCLFAJ_00010","LBLEHJFL_00010","EBLMJKPD_00071","CIDCPHMN_00133","CFLCBKEF_00011","EMANLNOE_00139","BOFEBHGI_00027","DHNEMLFG_00148","EFDDGJBK_00027","LBMCKPDB_00133","IHJENLPO_00135","CFKICFFG_00011","IFAGOEOF_00114","LJFFEAFL_00042",""
"group_135","","hypothetical protein","15","15","1","1","275","4","6","","140","287","277","PPNGLMBF_00114","AFBCLFAJ_00094","","EBLMJKPD_00007","CIDCPHMN_00044","CFLCBKEF_00100","EMANLNOE_00039","BOFEBHGI_00080","DHNEMLFG_00064","EFDDGJBK_00083","LBMCKPDB_00048","IHJENLPO_00050","CFKICFFG_00081","IFAGOEOF_00035","LJFFEAFL_00221","MOLELEAL_00089"
"group_166","","hypothetical protein","15","15","1","1","442","1","152","","659","776","768","PPNGLMBF_00023","AFBCLFAJ_00029","LBLEHJFL_00029","EBLMJKPD_00091","CIDCPHMN_00113","CFLCBKEF_00031","EMANLNOE_00117","BOFEBHGI_00011","DHNEMLFG_00127","EFDDGJBK_00011","LBMCKPDB_00115","IHJENLPO_00116","","IFAGOEOF_00095","LJFFEAFL_00024","MOLELEAL_00012"
"group_178","","hypothetical protein","15","15","1","1","321","2","10","","518","743","728","PPNGLMBF_00087","AFBCLFAJ_00120","LBLEHJFL_00121","EBLMJKPD_00033","CIDCPHMN_00018","CFLCBKEF_00126","","BOFEBHGI_00054","DHNEMLFG_00035","EFDDGJBK_00056","LBMCKPDB_00023","IHJENLPO_00023","CFKICFFG_00108","IFAGOEOF_00009","LJFFEAFL_00105","MOLELEAL_00113"
"traN","","Mating pair stabilization protein TraN","15","15","1","1","323","2","6","","710","1850","1704","PPNGLMBF_00089","AFBCLFAJ_00118","LBLEHJFL_00119","EBLMJKPD_00031","","CFLCBKEF_00124","EMANLNOE_00061","BOFEBHGI_00056","DHNEMLFG_00037","EFDDGJBK_00059","LBMCKPDB_00025","IHJENLPO_00026","CFKICFFG_00105","IFAGOEOF_00011","LJFFEAFL_00107","MOLELEAL_00111"
"insF-1","","IS3 element protein InsF","15","15","1","1","470","1","142","","356","356","356","PPNGLMBF_00015","AFBCLFAJ_00039","LBLEHJFL_00038","EBLMJKPD_00101","CIDCPHMN_00102","CFLCBKEF_00041","EMANLNOE_00109","BOFEBHGI_00139","DHNEMLFG_00119","","LBMCKPDB_00108","IHJENLPO_00108","CFKICFFG_00025","IFAGOEOF_00087","LJFFEAFL_00015","MOLELEAL_00026"
"group_251","","IS91 family transposase ISSbo1","15","15","1","1","445","1","149","","266","266","266","PPNGLMBF_00020","AFBCLFAJ_00032","LBLEHJFL_00032","EBLMJKPD_00094","CIDCPHMN_00110","CFLCBKEF_00034","EMANLNOE_00114","BOFEBHGI_00014","DHNEMLFG_00124","EFDDGJBK_00014","LBMCKPDB_00112","IHJENLPO_00113","","IFAGOEOF_00092","LJFFEAFL_00019","MOLELEAL_00009"
"group_252","","hypothetical protein","15","15","1","1","444","1","150","","1175","1175","1175","PPNGLMBF_00021","AFBCLFAJ_00031","LBLEHJFL_00031","EBLMJKPD_00093","CIDCPHMN_00111","CFLCBKEF_00033","EMANLNOE_00115","BOFEBHGI_00013","DHNEMLFG_00125","EFDDGJBK_00013","LBMCKPDB_00113","IHJENLPO_00114","","IFAGOEOF_00093","LJFFEAFL_00020","MOLELEAL_00010"
"group_253","","putative TonB-dependent receptor","15","15","1","1","443","1","151","","2261","2261","2261","PPNGLMBF_00022","AFBCLFAJ_00030","LBLEHJFL_00030","EBLMJKPD_00092","CIDCPHMN_00112","CFLCBKEF_00032","EMANLNOE_00116","BOFEBHGI_00012","DHNEMLFG_00126","EFDDGJBK_00012","LBMCKPDB_00114","IHJENLPO_00115","","IFAGOEOF_00094","LJFFEAFL_00021","MOLELEAL_00011"
"group_256","","hypothetical protein","15","15","1","1","73","1","128","","335","335","335","PPNGLMBF_00029","AFBCLFAJ_00025","LBLEHJFL_00025","EBLMJKPD_00086","CIDCPHMN_00117","CFLCBKEF_00027","EMANLNOE_00124","BOFEBHGI_00007","DHNEMLFG_00132","EFDDGJBK_00007","LBMCKPDB_00119","IHJENLPO_00120","","IFAGOEOF_00099","LJFFEAFL_00028","MOLELEAL_00019"
"group_257","","hypothetical protein","15","15","1","1","72","1","127","","347","347","347","PPNGLMBF_00030","AFBCLFAJ_00024","LBLEHJFL_00024","EBLMJKPD_00085","CIDCPHMN_00118","CFLCBKEF_00026","EMANLNOE_00125","BOFEBHGI_00006","DHNEMLFG_00133","EFDDGJBK_00006","LBMCKPDB_00120","IHJENLPO_00121","","IFAGOEOF_00100","LJFFEAFL_00029","MOLELEAL_00020"
"group_258","","hypothetical protein","15","15","1","1","478","1","124","","260","260","260","PPNGLMBF_00032","AFBCLFAJ_00022","LBLEHJFL_00022","EBLMJKPD_00083","CIDCPHMN_00120","CFLCBKEF_00023","EMANLNOE_00127","BOFEBHGI_00004","DHNEMLFG_00135","EFDDGJBK_00004","LBMCKPDB_00122","IHJENLPO_00123","","IFAGOEOF_00102","LJFFEAFL_00031","MOLELEAL_00022"
"group_31","","hypothetical protein","15","15","1","1","472","1","144","","572","1523","1443","PPNGLMBF_00016","AFBCLFAJ_00038","LBLEHJFL_00037","EBLMJKPD_00100","CIDCPHMN_00103","CFLCBKEF_00040","EMANLNOE_00110","BOFEBHGI_00140","DHNEMLFG_00120","","LBMCKPDB_00109","IHJENLPO_00109","CFKICFFG_00024","IFAGOEOF_00088","LJFFEAFL_00016","MOLELEAL_00025"
"group_483","","hypothetical protein","15","15","1","1","511","1","295","","221","221","221","PPNGLMBF_00135","AFBCLFAJ_00074","LBLEHJFL_00074","EBLMJKPD_00137","CIDCPHMN_00065","CFLCBKEF_00079","EMANLNOE_00021","BOFEBHGI_00103","","EFDDGJBK_00105","LBMCKPDB_00067","IHJENLPO_00072","CFKICFFG_00060","IFAGOEOF_00052","LJFFEAFL_00242","MOLELEAL_00071"
