Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Revised Source Niche	Revised_Collection_Year	Classification	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species_1	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC1100 (cgST Cplx)	HC1500	HC2000	HC2350 (subsp.)			Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Revised Source Niche	Revised_Collection_Year	Classification
ESC_FA6332AA	f1e036c0-fa7c-11e5-bdd4-3c4a9275d6c8	ERR1790973;ILLUMINA;Paired;441;ERX1854696	NA	 ---- 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB12887	ERP014412	NA	SAMEA4062549	ERS1233659	15/1/17	12/1/17	ESC_FA6332AA	Assembled	75	276563	5172783	Escherichia coli / Shigella;100.0%	94	1167	3.51	ESC_LA1124AA_AS	39881	39881	39881	39881	39881	1106	1104	1104	44	44	44	1	1			ESC_FA6332AA	f1e036c0-fa7c-11e5-bdd4-3c4a9275d6c8	ERR1790973;ILLUMINA;Paired;441;ERX1854696	Poultry_or_human	----	NA
ESC_FA8491AA	6895a250-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1822528;ILLUMINA;Paired;461;ERX1885030	NA	 ---- 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB15430	ERP017161	NA	SAMEA4470164	ERS1369343	14/2/17	9/2/17	ESC_FA8491AA	Assembled	46	298485	5248181	Escherichia coli / Shigella;98.69%	107	3123	3.61	ESC_LA2848AA_AS	41017	41017	41017	41017	41017	1106	1104	1104	44	44	44	1	1			ESC_FA8491AA	6895a250-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1822528;ILLUMINA;Paired;461;ERX1885030	Poultry_or_human	----	NA
ESC_FA8499AA	6844c330-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1822520;ILLUMINA;Paired;464;ERX1885022	NA	 ---- 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB15430	ERP017161	NA	SAMEA4470156	ERS1369335	14/2/17	9/2/17	ESC_FA8499AA	Assembled	46	308533	5247341	Escherichia coli / Shigella;100.0%	103	3004	3.61	ESC_LA2840AA_AS	40776	40776	40776	40776	40776	1106	1104	1104	44	44	44	1	1			ESC_FA8499AA	6844c330-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1822520;ILLUMINA;Paired;464;ERX1885022	Poultry_or_human	----	NA
ESC_FA9024AA	7afe2890-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1852602;ILLUMINA;Paired;440;ERX1914580	NA	 ---- 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB15430	ERP017161	NA	SAMEA4470276	ERS1369455	22/2/17	22/2/17	ESC_FA9024AA	Assembled	67	296196	5249200	Escherichia coli / Shigella;98.63%	94	1527	3.61	ESC_MA2736AA_AS	42876	42876	42876	42876	42876	1106	1104	1104	44	44	44	1	1			ESC_FA9024AA	7afe2890-7fd4-11e6-b8fe-3c4a9275d6c8	ERR1852602;ILLUMINA;Paired;440;ERX1914580	Poultry_or_human	----	NA
ESC_GA4494AA	W4-33	SRR5512250;ILLUMINA;Paired;;SRX2786219	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893793	SRS2168223	5/5/17	5/5/17	ESC_GA4494AA	Assembled	45	110070	5215533	Escherichia coli / Shigella;98.96%	131	17151	3.61	ESC_NA4072AA_AS	45089	45006	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4494AA	W4-33	SRR5512250;ILLUMINA;Paired;;SRX2786219	Poultry	2014	RMAE
ESC_GA4495AA	W4-32	SRR5512249;ILLUMINA;Paired;;SRX2786218	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893792	SRS2168222	5/5/17	5/5/17	ESC_GA4495AA	Assembled	43	110287	5287788	Escherichia coli / Shigella;99.1%	140	17720	3.61	ESC_NA4071AA_AS	45081	45005	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4495AA	W4-32	SRR5512249;ILLUMINA;Paired;;SRX2786218	Poultry	2014	RMAE
ESC_GA4496AA	W2-53	SRR5512248;ILLUMINA;Paired;;SRX2786217	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893791	SRS2168221	5/5/17	5/5/17	ESC_GA4496AA	Assembled	38	107675	5256331	Escherichia coli / Shigella;94.8%	216	28096	3.61	ESC_NA4070AA_AS	45082	45082	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4496AA	W2-53	SRR5512248;ILLUMINA;Paired;;SRX2786217	Poultry	2014	RMAE
ESC_GA4497AA	W2-49	SRR5512247;ILLUMINA;Paired;;SRX2786216	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893790	SRS2168220	5/5/17	5/5/17	ESC_GA4497AA	Assembled	22	88870	5213741	Escherichia coli / Shigella;98.33%	159	40136	3.61	ESC_NA4069AA_AS	45083	45083	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4497AA	W2-49	SRR5512247;ILLUMINA;Paired;;SRX2786216	Poultry	2014	RMAE
ESC_GA4498AA	W2-47	SRR5512246;ILLUMINA;Paired;;SRX2786215	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893789	SRS2168219	5/5/17	5/5/17	ESC_GA4498AA	Assembled	63	178222	5229579	Escherichia coli / Shigella;98.34%	85	4108	3.61	ESC_NA4068AA_AS	45084	45006	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4498AA	W2-47	SRR5512246;ILLUMINA;Paired;;SRX2786215	Poultry	2014	RMAE
ESC_GA4499AA	W1-58	SRR5512245;ILLUMINA;Paired;;SRX2786214	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893788	SRS2168217	5/5/17	5/5/17	ESC_GA4499AA	Assembled	54	120852	5229026	Escherichia coli / Shigella;98.8%	112	6117	3.61	ESC_NA4067AA_AS	45093	45006	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4499AA	W1-58	SRR5512245;ILLUMINA;Paired;;SRX2786214	Poultry	2014	RMAE
ESC_GA4500AA	M710019	SRR5512244;ILLUMINA;Paired;;SRX2786213	Human	2015	Faecal	Human	Human	Homo sapiens; Human faecal	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893787	SRS2168218	5/5/17	5/5/17	ESC_GA4500AA	Assembled	66	162637	5339866	Escherichia coli / Shigella;96.52%	161	4370	3.61	ESC_NA4066AA_AS	45092	45092	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4500AA	M710019	SRR5512244;ILLUMINA;Paired;;SRX2786213	Human	2015	Faecal
ESC_GA4502AA	M675220	SRR5512242;ILLUMINA;Paired;;SRX2786211	Human	2015	Faecal	Human	Human	Homo sapiens; Human faecal	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893785	SRS2168215	5/5/17	5/5/17	ESC_GA4502AA	Assembled	40	57399	5513981	Escherichia coli / Shigella;97.45%	294	23115	3.61	ESC_NA4064AA_AS	45076	45076	45076	45076	9838	1106	1104	1104	44	44	44	1	1			ESC_GA4502AA	M675220	SRR5512242;ILLUMINA;Paired;;SRX2786211	Human	2015	Faecal
ESC_GA4503AA	M673438	SRR5512241;ILLUMINA;Paired;;SRX2786210	Human	2015	UPEC	Human	Human	Homo sapiens; Human urinary tract	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893784	SRS2168214	5/5/17	5/5/17	ESC_GA4503AA	Assembled	57	105236	5229221	Escherichia coli / Shigella;98.17%	159	12776	3.61	ESC_NA4063AA_AS	45087	45087	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4503AA	M673438	SRR5512241;ILLUMINA;Paired;;SRX2786210	Human	2015	UPEC
ESC_GA4505AA	M671335	SRR5512239;ILLUMINA;Paired;;SRX2786208	Human	2015	UPEC	Human	Human	Homo sapiens; Human urinary tract	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893783	SRS2168212	5/5/17	5/5/17	ESC_GA4505AA	Assembled	44	177073	5274435	Escherichia coli / Shigella;76.38%	198	22151	3.61	ESC_NA4061AA_AS	45075	45075	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4505AA	M671335	SRR5512239;ILLUMINA;Paired;;SRX2786208	Human	2015	UPEC
ESC_GA4510AA	M663940	SRR5512234;ILLUMINA;Paired;;SRX2786203	Human	2015	UPEC	Human	Human	Homo sapiens; Human urinary tract	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893778	SRS2168207	5/5/17	5/5/17	ESC_GA4510AA	Assembled	49	169953	5317924	Escherichia coli / Shigella;80.82%	191	19510	3.61	ESC_NA4056AA_AS	45088	45088	45088	45088	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4510AA	M663940	SRR5512234;ILLUMINA;Paired;;SRX2786203	Human	2015	UPEC
ESC_GA4511AA	M663475	SRR5512233;ILLUMINA;Paired;;SRX2786202	Human	2015	UPEC	Human	Human	Homo sapiens; Human urinary tract	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893777	SRS2168206	5/5/17	5/5/17	ESC_GA4511AA	Assembled	56	140010	5217269	Escherichia coli / Shigella;98.97%	134	5689	3.61	ESC_NA4055AA_AS	45072	45072	45072	45072	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4511AA	M663475	SRR5512233;ILLUMINA;Paired;;SRX2786202	Human	2015	UPEC
ESC_GA4513AA	M660876	SRR5512231;ILLUMINA;Paired;;SRX2786200	Human	2015	Faecal	Human	Human	Homo sapiens; Human faecal	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893775	SRS2168204	5/5/17	5/5/17	ESC_GA4513AA	Assembled	64	38742	5360331	Escherichia coli / Shigella;99.45%	283	25302	3.61	ESC_NA4053AA_AS	45071	45071	45071	45071	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4513AA	M660876	SRR5512231;ILLUMINA;Paired;;SRX2786200	Human	2015	Faecal
ESC_GA4514AA	M660875	SRR5512230;ILLUMINA;Paired;;SRX2786199	Human	2015	Faecal	Human	Human	Homo sapiens; Human faecal	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893774	SRS2168203	5/5/17	5/5/17	ESC_GA4514AA	Assembled	41	59204	5408119	Escherichia coli / Shigella;75.53%	285	26408	3.61	ESC_NA4052AA_AS	45079	45079	45071	45071	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4514AA	M660875	SRR5512230;ILLUMINA;Paired;;SRX2786199	Human	2015	Faecal
ESC_GA4518AA	M652995	SRR5512226;ILLUMINA;Paired;;SRX2786195	Human	2015	UPEC	Human	Human	Homo sapiens; Human urinary tract	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893771	SRS2168197	5/5/17	5/5/17	ESC_GA4518AA	Assembled	68	65444	5234868	Escherichia coli / Shigella;98.71%	226	28201	3.61	ESC_NA4048AA_AS	45066	45066	45066	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4518AA	M652995	SRR5512226;ILLUMINA;Paired;;SRX2786195	Human	2015	UPEC
ESC_GA4520AA	M644693	SRR5512224;ILLUMINA;Paired;;SRX2786193	Human	2015	UPEC	Human	Human	Homo sapiens; Human urinary tract	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893769	SRS2168198	5/5/17	5/5/17	ESC_GA4520AA	Assembled	54	156613	5178647	Escherichia coli / Shigella;98.7%	115	4737	3.61	ESC_NA4046AA_AS	45069	45069	45069	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4520AA	M644693	SRR5512224;ILLUMINA;Paired;;SRX2786193	Human	2015	UPEC
ESC_GA4521AA	M638866	SRR5512223;ILLUMINA;Paired;;SRX2786192	Human	2015	UPEC	Human	Human	Homo sapiens; Human urinary tract	2015	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893768	SRS2168199	5/5/17	5/5/17	ESC_GA4521AA	Assembled	75	110733	5220608	Escherichia coli / Shigella;99.1%	158	12292	3.61	ESC_NA4045AA_AS	45068	45019	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4521AA	M638866	SRR5512223;ILLUMINA;Paired;;SRX2786192	Human	2015	UPEC
ESC_GA4531AA	H358	SRR5512213;ILLUMINA;Paired;;SRX2786182	Human	2001	UPEC	Human	Human	Homo sapiens; Human urinary tract	2001	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893759	SRS2168187	5/5/17	5/5/17	ESC_GA4531AA	Assembled	93	204006	5176574	Escherichia coli / Shigella;100.0%	79	4427	3.61	ESC_NA4035AA_AS	45058	45058	45058	45058	9838	1106	1104	1104	44	44	44	1	1			ESC_GA4531AA	H358	SRR5512213;ILLUMINA;Paired;;SRX2786182	Human	2001	UPEC
ESC_GA4561AA	C4-35	SRR5512183;ILLUMINA;Paired;;SRX2786152	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893732	SRS2168156	5/5/17	5/5/17	ESC_GA4561AA	Assembled	22	46575	5187134	Escherichia coli / Shigella;99.38%	250	52128	3.61	ESC_NA4005AA_AS	45028	45019	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4561AA	C4-35	SRR5512183;ILLUMINA;Paired;;SRX2786152	Poultry	2014	RMAE
ESC_GA4562AA	C4-34	SRR5512182;ILLUMINA;Paired;;SRX2786151	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893731	SRS2168155	5/5/17	5/5/17	ESC_GA4562AA	Assembled	53	131546	5223263	Escherichia coli / Shigella;98.99%	134	16597	3.61	ESC_NA4004AA_AS	45038	45019	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4562AA	C4-34	SRR5512182;ILLUMINA;Paired;;SRX2786151	Poultry	2014	RMAE
ESC_GA4563AA	C4-33	SRR5512181;ILLUMINA;Paired;;SRX2786150	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893730	SRS2168154	5/5/17	5/5/17	ESC_GA4563AA	Assembled	22	59684	5194347	Escherichia coli / Shigella;99.26%	185	46708	3.61	ESC_NA4003AA_AS	45019	45019	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4563AA	C4-33	SRR5512181;ILLUMINA;Paired;;SRX2786150	Poultry	2014	RMAE
ESC_GA4566AA	C2-117	SRR5512178;ILLUMINA;Paired;;SRX2786147	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893727	SRS2168151	5/5/17	5/5/17	ESC_GA4566AA	Assembled	33	49926	5188089	Escherichia coli / Shigella;99.37%	230	44331	3.61	ESC_NA4000AA_AS	45023	45023	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4566AA	C2-117	SRR5512178;ILLUMINA;Paired;;SRX2786147	Poultry	2014	RMAE
ESC_GA4567AA	C2-110	SRR5512177;ILLUMINA;Paired;;SRX2786146	Poultry	2014	RMAE	Animal Feed	NA	Poultry; Retail poultry meat	2014	NA	NA	NA	Oceania	Australia	NA	NA	NA	NA	NA	NA	The Australian National University	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA385370	SRP106504	NA	SAMN06893726	SRS2168150	5/5/17	5/5/17	ESC_GA4567AA	Assembled	40	34922	5179712	Escherichia coli / Shigella;90.7%	304	54693	3.61	ESC_NA3999AA_AS	45020	45020	45005	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_GA4567AA	C2-110	SRR5512177;ILLUMINA;Paired;;SRX2786146	Poultry	2014	RMAE
