"","pAPEC_O2_ColV","working_name","Percent_hit"
"ESC_FB3739AA_AS",44569,"ESC_FB3739AA_AS",24
"ESC_FB7924AA_AS",68603,"ESC_FB7924AA_AS",37
"ESC_FB9215AA_AS",92772,"ESC_FB9215AA_AS",50
"ESC_FB9587AA_AS",87296,"ESC_FB9587AA_AS",47
"ESC_FB9640AA_AS",50813,"ESC_FB9640AA_AS",28
"ESC_FB9641AA_AS",16182,"ESC_FB9641AA_AS",9
"ESC_FB9675AA_AS",9311,"ESC_FB9675AA_AS",5
"ESC_FB9847AA_AS",28417,"ESC_FB9847AA_AS",15
"ESC_GA5350AA_AS",92973,"ESC_GA5350AA_AS",50
"ESC_GA5351AA_AS",27166,"ESC_GA5351AA_AS",15
"ESC_GA8819AA_AS",33588,"ESC_GA8819AA_AS",18
"ESC_GA8857AA_AS",89991,"ESC_GA8857AA_AS",49
"ESC_GA9224AA_AS",35204,"ESC_GA9224AA_AS",19
"ESC_GA9272AA_AS",28522,"ESC_GA9272AA_AS",15
"ESC_GB3527AA_AS",101421,"ESC_GB3527AA_AS",55
"ESC_GB3799AA_AS",31626,"ESC_GB3799AA_AS",17
"ESC_GB3897AA_AS",33094,"ESC_GB3897AA_AS",18
"ESC_GB3934AA_AS",33538,"ESC_GB3934AA_AS",18
"ESC_GB5978AA_AS",21234,"ESC_GB5978AA_AS",12
"ESC_GB6068AA_AS",37632,"ESC_GB6068AA_AS",20
"ESC_GB6087AA_AS",149119,"ESC_GB6087AA_AS",81
"ESC_GB6457AA_AS",90437,"ESC_GB6457AA_AS",49
"ESC_GB6463AA_AS",90203,"ESC_GB6463AA_AS",49
"ESC_GB6540AA_AS",87372,"ESC_GB6540AA_AS",47
"ESC_GB6614AA_AS",28327,"ESC_GB6614AA_AS",15
"ESC_GB6618AA_AS",91291,"ESC_GB6618AA_AS",49
"ESC_GB6690AA_AS",28491,"ESC_GB6690AA_AS",15
"ESC_GB6695AA_AS",64049,"ESC_GB6695AA_AS",35
"ESC_GB6696AA_AS",28136,"ESC_GB6696AA_AS",15
"ESC_GB6889AA_AS",78925,"ESC_GB6889AA_AS",43
"ESC_GB6892AA_AS",78550,"ESC_GB6892AA_AS",43
"ESC_GB6898AA_AS",22334,"ESC_GB6898AA_AS",12
"ESC_GB6899AA_AS",88716,"ESC_GB6899AA_AS",48
"ESC_GB6901AA_AS",78582,"ESC_GB6901AA_AS",43
"ESC_GB6906AA_AS",37917,"ESC_GB6906AA_AS",21
"ESC_GB6943AA_AS",88372,"ESC_GB6943AA_AS",48
"ESC_GB6953AA_AS",28340,"ESC_GB6953AA_AS",15
"ESC_GB9758AA_AS",87296,"ESC_GB9758AA_AS",47
"ESC_GB9956AA_AS",25503,"ESC_GB9956AA_AS",14
"ESC_HA0198AA_AS",31641,"ESC_HA0198AA_AS",17
"ESC_HA0238AA_AS",33094,"ESC_HA0238AA_AS",18
"ESC_HA0246AA_AS",28399,"ESC_HA0246AA_AS",15
"ESC_HA0364AA_AS",95235,"ESC_HA0364AA_AS",52
"ESC_HA0689AA_AS",37606,"ESC_HA0689AA_AS",20
"ESC_HA1968AA_AS",87810,"ESC_HA1968AA_AS",48
"ESC_HA2055AA_AS",28365,"ESC_HA2055AA_AS",15
"ESC_HA4979AA_AS",88344,"ESC_HA4979AA_AS",48
"ESC_HA5006AA_AS",79952,"ESC_HA5006AA_AS",43
"ESC_HA5023AA_AS",90092,"ESC_HA5023AA_AS",49
"ESC_HA5031AA_AS",27166,"ESC_HA5031AA_AS",15
"ESC_HA5037AA_AS",66713,"ESC_HA5037AA_AS",36
"ESC_HA5043AA_AS",28417,"ESC_HA5043AA_AS",15
"ESC_HA5076AA_AS",88752,"ESC_HA5076AA_AS",48
"ESC_HA5094AA_AS",28417,"ESC_HA5094AA_AS",15
"ESC_HA5098AA_AS",28417,"ESC_HA5098AA_AS",15
"ESC_HA5111AA_AS",79952,"ESC_HA5111AA_AS",43
"ESC_HA5117AA_AS",28417,"ESC_HA5117AA_AS",15
"ESC_HA5121AA_AS",20500,"ESC_HA5121AA_AS",11
"ESC_HA5136AA_AS",27366,"ESC_HA5136AA_AS",15
"ESC_HA5149AA_AS",89146,"ESC_HA5149AA_AS",48
"ESC_HA5153AA_AS",92020,"ESC_HA5153AA_AS",50
"ESC_HA5174AA_AS",92597,"ESC_HA5174AA_AS",50
"ESC_HA5557AA_AS",33094,"ESC_HA5557AA_AS",18
"ESC_HA5565AA_AS",33087,"ESC_HA5565AA_AS",18
"ESC_HA5568AA_AS",33094,"ESC_HA5568AA_AS",18
"ESC_HA5570AA_AS",93998,"ESC_HA5570AA_AS",51
"ESC_HA5572AA_AS",32258,"ESC_HA5572AA_AS",17
"ESC_HA5579AA_AS",33094,"ESC_HA5579AA_AS",18
"ESC_HA5580AA_AS",33094,"ESC_HA5580AA_AS",18
"ESC_HA5591AA_AS",24877,"ESC_HA5591AA_AS",13
"ESC_HA5615AA_AS",89408,"ESC_HA5615AA_AS",48
"ESC_HA5663AA_AS",86274,"ESC_HA5663AA_AS",47
"ESC_HA5665AA_AS",32090,"ESC_HA5665AA_AS",17
"ESC_HA5683AA_AS",33968,"ESC_HA5683AA_AS",18
"ESC_HA5800AA_AS",89631,"ESC_HA5800AA_AS",49
"ESC_HA6332AA_AS",157490,"ESC_HA6332AA_AS",85
"ESC_HA6342AA_AS",89665,"ESC_HA6342AA_AS",49
"ESC_HA6411AA_AS",86980,"ESC_HA6411AA_AS",47
"ESC_HA6413AA_AS",90342,"ESC_HA6413AA_AS",49
"ESC_HA6418AA_AS",90653,"ESC_HA6418AA_AS",49
"ESC_HA6420AA_AS",87577,"ESC_HA6420AA_AS",47
"ESC_HA7812AA_AS",144680,"ESC_HA7812AA_AS",78
"ESC_HA7918AA_AS",42386,"ESC_HA7918AA_AS",23
"ESC_HA7931AA_AS",75773,"ESC_HA7931AA_AS",41
"ESC_HA8230AA_AS",22399,"ESC_HA8230AA_AS",12
"ESC_HA8271AA_AS",6967,"ESC_HA8271AA_AS",4
"ESC_HA8279AA_AS",28417,"ESC_HA8279AA_AS",15
"ESC_HA8369AA_AS",80705,"ESC_HA8369AA_AS",44
"ESC_HA8540AA_AS",86836,"ESC_HA8540AA_AS",47
"ESC_HA9073AA_AS",67012,"ESC_HA9073AA_AS",36
"ESC_HB0486AA_AS",30652,"ESC_HB0486AA_AS",17
"ESC_HB8007AA_AS",88443,"ESC_HB8007AA_AS",48
"ESC_HB8577AA_AS",96480,"ESC_HB8577AA_AS",52
"ESC_IA0801AA_AS",30060,"ESC_IA0801AA_AS",16
"ESC_IA0804AA_AS",80729,"ESC_IA0804AA_AS",44
"ESC_IA0811AA_AS",92153,"ESC_IA0811AA_AS",50
"ESC_IA0816AA_AS",32311,"ESC_IA0816AA_AS",18
"ESC_IA1449AA_AS",28503,"ESC_IA1449AA_AS",15
"ESC_IA2216AA_AS",28417,"ESC_IA2216AA_AS",15
"ESC_IA2220AA_AS",88253,"ESC_IA2220AA_AS",48
"ESC_IA2221AA_AS",28145,"ESC_IA2221AA_AS",15
"ESC_IA2225AA_AS",28009,"ESC_IA2225AA_AS",15
"ESC_IA2226AA_AS",28285,"ESC_IA2226AA_AS",15
"ESC_IA2233AA_AS",87123,"ESC_IA2233AA_AS",47
"ESC_IA2239AA_AS",6967,"ESC_IA2239AA_AS",4
"ESC_IA2257AA_AS",88708,"ESC_IA2257AA_AS",48
"ESC_IA2262AA_AS",27259,"ESC_IA2262AA_AS",15
"ESC_IA2264AA_AS",28417,"ESC_IA2264AA_AS",15
"ESC_IA2269AA_AS",93762,"ESC_IA2269AA_AS",51
"ESC_IB6001AA_AS",90113,"ESC_IB6001AA_AS",49
"ESC_IB6595AA_AS",28417,"ESC_IB6595AA_AS",15
"ESC_IB6619AA_AS",84896,"ESC_IB6619AA_AS",46
"ESC_IB6797AA_AS",80837,"ESC_IB6797AA_AS",44
"ESC_IB7362AA_AS",28702,"ESC_IB7362AA_AS",16
"ESC_IB7375AA_AS",88055,"ESC_IB7375AA_AS",48
"ESC_IB7386AA_AS",70327,"ESC_IB7386AA_AS",38
"ESC_IB7413AA_AS",93360,"ESC_IB7413AA_AS",51
"ESC_IB7420AA_AS",33094,"ESC_IB7420AA_AS",18
"ESC_IB7431AA_AS",28703,"ESC_IB7431AA_AS",16
"ESC_IB7433AA_AS",28703,"ESC_IB7433AA_AS",16
"ESC_IB7438AA_AS",27166,"ESC_IB7438AA_AS",15
"ESC_IB7443AA_AS",90168,"ESC_IB7443AA_AS",49
"ESC_IB7449AA_AS",22911,"ESC_IB7449AA_AS",12
"ESC_IB7459AA_AS",28417,"ESC_IB7459AA_AS",15
"ESC_IB7463AA_AS",25830,"ESC_IB7463AA_AS",14
"ESC_IB7465AA_AS",89981,"ESC_IB7465AA_AS",49
"ESC_IB7469AA_AS",17386,"ESC_IB7469AA_AS",9
"ESC_IB7473AA_AS",28421,"ESC_IB7473AA_AS",15
"ESC_IB7486AA_AS",37632,"ESC_IB7486AA_AS",20
"ESC_IB7490AA_AS",30196,"ESC_IB7490AA_AS",16
"ESC_IB7499AA_AS",33415,"ESC_IB7499AA_AS",18
"ESC_IB7516AA_AS",79952,"ESC_IB7516AA_AS",43
"ESC_IB7517AA_AS",29351,"ESC_IB7517AA_AS",16
"ESC_IB7519AA_AS",37632,"ESC_IB7519AA_AS",20
"ESC_IB7523AA_AS",28703,"ESC_IB7523AA_AS",16
"ESC_IB7528AA_AS",28703,"ESC_IB7528AA_AS",16
"ESC_IB7529AA_AS",87566,"ESC_IB7529AA_AS",47
"ESC_IB7531AA_AS",28443,"ESC_IB7531AA_AS",15
"ESC_IB7532AA_AS",28426,"ESC_IB7532AA_AS",15
"ESC_IB7542AA_AS",28417,"ESC_IB7542AA_AS",15
"ESC_IB7548AA_AS",28703,"ESC_IB7548AA_AS",16
"ESC_IB7561AA_AS",6967,"ESC_IB7561AA_AS",4
"ESC_IB7571AA_AS",156748,"ESC_IB7571AA_AS",85
"ESC_IB7572AA_AS",28404,"ESC_IB7572AA_AS",15
"ESC_IB7574AA_AS",28703,"ESC_IB7574AA_AS",16
"ESC_IB7576AA_AS",34425,"ESC_IB7576AA_AS",19
"ESC_IB7582AA_AS",37632,"ESC_IB7582AA_AS",20
"ESC_IB7591AA_AS",28589,"ESC_IB7591AA_AS",15
"ESC_IB7597AA_AS",55569,"ESC_IB7597AA_AS",30
"ESC_IB7604AA_AS",37632,"ESC_IB7604AA_AS",20
"ESC_IB7609AA_AS",28402,"ESC_IB7609AA_AS",15
"ESC_IB7611AA_AS",37832,"ESC_IB7611AA_AS",21
"ESC_IB7615AA_AS",28703,"ESC_IB7615AA_AS",16
"ESC_IB7625AA_AS",85361,"ESC_IB7625AA_AS",46
"ESC_IB7630AA_AS",28391,"ESC_IB7630AA_AS",15
"ESC_IB7632AA_AS",33094,"ESC_IB7632AA_AS",18
"ESC_IB7635AA_AS",37632,"ESC_IB7635AA_AS",20
"ESC_IB7639AA_AS",91297,"ESC_IB7639AA_AS",49
"ESC_IB7649AA_AS",23279,"ESC_IB7649AA_AS",13
"ESC_IB7656AA_AS",28405,"ESC_IB7656AA_AS",15
"ESC_IB7668AA_AS",28703,"ESC_IB7668AA_AS",16
"ESC_IB7669AA_AS",37918,"ESC_IB7669AA_AS",21
"ESC_IB7673AA_AS",34425,"ESC_IB7673AA_AS",19
"ESC_IB7676AA_AS",28494,"ESC_IB7676AA_AS",15
"ESC_IB7682AA_AS",28386,"ESC_IB7682AA_AS",15
"ESC_IB7683AA_AS",5546,"ESC_IB7683AA_AS",3
"ESC_IB7686AA_AS",28405,"ESC_IB7686AA_AS",15
"ESC_IB7693AA_AS",28493,"ESC_IB7693AA_AS",15
"ESC_IB7708AA_AS",28703,"ESC_IB7708AA_AS",16
"ESC_IB7712AA_AS",80938,"ESC_IB7712AA_AS",44
"ESC_IB7713AA_AS",29772,"ESC_IB7713AA_AS",16
"ESC_IB7718AA_AS",21234,"ESC_IB7718AA_AS",12
"ESC_IB7720AA_AS",33094,"ESC_IB7720AA_AS",18
"ESC_IB7723AA_AS",96231,"ESC_IB7723AA_AS",52
"ESC_IB7726AA_AS",87456,"ESC_IB7726AA_AS",47
"ESC_IB7731AA_AS",38924,"ESC_IB7731AA_AS",21
"ESC_IB7732AA_AS",90730,"ESC_IB7732AA_AS",49
"ESC_IB7738AA_AS",28703,"ESC_IB7738AA_AS",16
"ESC_IB7742AA_AS",28256,"ESC_IB7742AA_AS",15
"ESC_IB7745AA_AS",92559,"ESC_IB7745AA_AS",50
"ESC_IB8255AA_AS",28417,"ESC_IB8255AA_AS",15
"ESC_IB8355AA_AS",33094,"ESC_IB8355AA_AS",18
"ESC_IB9074AA_AS",46266,"ESC_IB9074AA_AS",25
"ESC_JA3774AA_AS",87926,"ESC_JA3774AA_AS",48
"ESC_JA3853AA_AS",82876,"ESC_JA3853AA_AS",45
"ESC_JA3948AA_AS",88961,"ESC_JA3948AA_AS",48
"ESC_JA4010AA_AS",91617,"ESC_JA4010AA_AS",50
"ESC_JA4488AA_AS",87112,"ESC_JA4488AA_AS",47
"ESC_JA4566AA_AS",83263,"ESC_JA4566AA_AS",45
"ESC_JA4581AA_AS",91280,"ESC_JA4581AA_AS",49
"ESC_JA4609AA_AS",87934,"ESC_JA4609AA_AS",48
"ESC_JA4751AA_AS",90838,"ESC_JA4751AA_AS",49
"ESC_JA4785AA_AS",92464,"ESC_JA4785AA_AS",50
"ESC_JA5133AA_AS",87927,"ESC_JA5133AA_AS",48
"ESC_JA7639AA_AS",88009,"ESC_JA7639AA_AS",48
"ESC_JA8124AA_AS",90762,"ESC_JA8124AA_AS",49
"ESC_JA8284AA_AS",80559,"ESC_JA8284AA_AS",44
"ESC_JA8368AA_AS",89433,"ESC_JA8368AA_AS",48
"ESC_JA9326AA_AS",4617,"ESC_JA9326AA_AS",3
"ESC_JA9945AA_AS",67917,"ESC_JA9945AA_AS",37
"ESC_JB5829AA_AS",28703,"ESC_JB5829AA_AS",16
"ESC_JB8253AA_AS",86523,"ESC_JB8253AA_AS",47
"ESC_JB8357AA_AS",89448,"ESC_JB8357AA_AS",48
"ESC_JB8358AA_AS",89760,"ESC_JB8358AA_AS",49
"ESC_JB8359AA_AS",159903,"ESC_JB8359AA_AS",87
"ESC_JB9522AA_AS",91507,"ESC_JB9522AA_AS",50
"ESC_JB9585AA_AS",155162,"ESC_JB9585AA_AS",84
"ESC_KA0604AA_AS",89380,"ESC_KA0604AA_AS",48
"ESC_KA0652AA_AS",6342,"ESC_KA0652AA_AS",3
"ESC_KA0889AA_AS",28401,"ESC_KA0889AA_AS",15
"ESC_KA1451AA_AS",91195,"ESC_KA1451AA_AS",49
"ESC_KA1594AA_AS",81875,"ESC_KA1594AA_AS",44
"ESC_KA3859AA_AS",28036,"ESC_KA3859AA_AS",15
"ESC_KA4244AA_AS",89735,"ESC_KA4244AA_AS",49
"ESC_KA4597AA_AS",89740,"ESC_KA4597AA_AS",49
"ESC_KA4607AA_AS",88145,"ESC_KA4607AA_AS",48
"ESC_KA6867AA_AS",91192,"ESC_KA6867AA_AS",49
"ESC_KA9265AA_AS",88164,"ESC_KA9265AA_AS",48
"ESC_KA9267AA_AS",87803,"ESC_KA9267AA_AS",48
"ESC_KA9324AA_AS",88763,"ESC_KA9324AA_AS",48
"ESC_KA9597AA_AS",88190,"ESC_KA9597AA_AS",48
"ESC_KA9598AA_AS",87617,"ESC_KA9598AA_AS",47
"ESC_KB3273AA_AS",140413,"ESC_KB3273AA_AS",76
"ESC_KB3274AA_AS",143902,"ESC_KB3274AA_AS",78
"ESC_KB3275AA_AS",141426,"ESC_KB3275AA_AS",77
"ESC_KB3276AA_AS",143140,"ESC_KB3276AA_AS",78
"ESC_KB3279AA_AS",142892,"ESC_KB3279AA_AS",77
"ESC_KB3281AA_AS",86336,"ESC_KB3281AA_AS",47
"ESC_KB3352AA_AS",143260,"ESC_KB3352AA_AS",78
"ESC_KB3369AA_AS",138834,"ESC_KB3369AA_AS",75
"ESC_KB3395AA_AS",78796,"ESC_KB3395AA_AS",43
"ESC_KB3408AA_AS",89330,"ESC_KB3408AA_AS",48
"ESC_KB3427AA_AS",139017,"ESC_KB3427AA_AS",75
"ESC_KB3428AA_AS",144514,"ESC_KB3428AA_AS",78
"ESC_KB3527AA_AS",114988,"ESC_KB3527AA_AS",62
"ESC_KB3783AA_AS",87025,"ESC_KB3783AA_AS",47
"ESC_KB3935AA_AS",92064,"ESC_KB3935AA_AS",50
"ESC_KB3958AA_AS",89748,"ESC_KB3958AA_AS",49
"ESC_KB3963AA_AS",137312,"ESC_KB3963AA_AS",74
"ESC_KB3965AA_AS",144342,"ESC_KB3965AA_AS",78
"ESC_KB3979AA_AS",85698,"ESC_KB3979AA_AS",46
"ESC_KB3986AA_AS",55572,"ESC_KB3986AA_AS",30
"ESC_KB4003AA_AS",142545,"ESC_KB4003AA_AS",77
"ESC_KB4030AA_AS",87002,"ESC_KB4030AA_AS",47
"ESC_KB4123AA_AS",144797,"ESC_KB4123AA_AS",78
"ESC_KB4146AA_AS",76415,"ESC_KB4146AA_AS",41
"ESC_KB4162AA_AS",141546,"ESC_KB4162AA_AS",77
"ESC_KB4192AA_AS",85993,"ESC_KB4192AA_AS",47
"ESC_KB4202AA_AS",88623,"ESC_KB4202AA_AS",48
"ESC_KB4692AA_AS",144692,"ESC_KB4692AA_AS",78
"ESC_KB9700AA_AS",143601,"ESC_KB9700AA_AS",78
"ESC_KB9703AA_AS",87961,"ESC_KB9703AA_AS",48
"ESC_KB9714AA_AS",144379,"ESC_KB9714AA_AS",78
"ESC_KB9715AA_AS",145630,"ESC_KB9715AA_AS",79
"ESC_KB9716AA_AS",143960,"ESC_KB9716AA_AS",78
"ESC_KB9720AA_AS",144327,"ESC_KB9720AA_AS",78
"ESC_KB9721AA_AS",143390,"ESC_KB9721AA_AS",78
"ESC_KB9722AA_AS",143768,"ESC_KB9722AA_AS",78
"ESC_KB9725AA_AS",146007,"ESC_KB9725AA_AS",79
"ESC_KB9726AA_AS",86804,"ESC_KB9726AA_AS",47
"ESC_KB9729AA_AS",151164,"ESC_KB9729AA_AS",82
"ESC_KB9732AA_AS",86886,"ESC_KB9732AA_AS",47
"ESC_KB9734AA_AS",86886,"ESC_KB9734AA_AS",47
"ESC_KB9735AA_AS",143009,"ESC_KB9735AA_AS",78
"ESC_KB9751AA_AS",143902,"ESC_KB9751AA_AS",78
"ESC_KB9762AA_AS",143874,"ESC_KB9762AA_AS",78
"ESC_KB9767AA_AS",143874,"ESC_KB9767AA_AS",78
"ESC_KB9768AA_AS",143128,"ESC_KB9768AA_AS",78
"ESC_LA4536AA_AS",28166,"ESC_LA4536AA_AS",15
"ESC_LA4539AA_AS",31962,"ESC_LA4539AA_AS",17
"ESC_LA4540AA_AS",46467,"ESC_LA4540AA_AS",25
"ESC_LA5735AA_AS",28571,"ESC_LA5735AA_AS",15
"ESC_LA5763AA_AS",12508,"ESC_LA5763AA_AS",7
"ESC_LA5874AA_AS",91541,"ESC_LA5874AA_AS",50
"ESC_LA5890AA_AS",33094,"ESC_LA5890AA_AS",18
"ESC_LB0076AA_AS",89905,"ESC_LB0076AA_AS",49
"ESC_LB0314AA_AS",142505,"ESC_LB0314AA_AS",77
"ESC_LB0394AA_AS",28417,"ESC_LB0394AA_AS",15
"ESC_LB0440AA_AS",92020,"ESC_LB0440AA_AS",50
"ESC_LB0692AA_AS",28703,"ESC_LB0692AA_AS",16
"ESC_LB2789AA_AS",28417,"ESC_LB2789AA_AS",15
"ESC_LB6010AA_AS",34425,"ESC_LB6010AA_AS",19
"ESC_NA3970AA_AS",55533,"ESC_NA3970AA_AS",30
"ESC_NA3971AA_AS",82636,"ESC_NA3971AA_AS",45
"ESC_NA3972AA_AS",29456,"ESC_NA3972AA_AS",16
"ESC_NA3973AA_AS",86584,"ESC_NA3973AA_AS",47
"ESC_NA3974AA_AS",86523,"ESC_NA3974AA_AS",47
"ESC_NA3975AA_AS",86078,"ESC_NA3975AA_AS",47
"ESC_NA3976AA_AS",39265,"ESC_NA3976AA_AS",21
"ESC_NA3979AA_AS",35492,"ESC_NA3979AA_AS",19
"ESC_NA3980AA_AS",86762,"ESC_NA3980AA_AS",47
"ESC_NA3982AA_AS",87423,"ESC_NA3982AA_AS",47
"ESC_NA3983AA_AS",87963,"ESC_NA3983AA_AS",48
"ESC_NA3984AA_AS",80625,"ESC_NA3984AA_AS",44
"ESC_NA3985AA_AS",23492,"ESC_NA3985AA_AS",13
"ESC_NA3987AA_AS",92585,"ESC_NA3987AA_AS",50
"ESC_NA3988AA_AS",49408,"ESC_NA3988AA_AS",27
"ESC_NA3989AA_AS",82015,"ESC_NA3989AA_AS",44
"ESC_NA3990AA_AS",42861,"ESC_NA3990AA_AS",23
"ESC_NA3991AA_AS",80313,"ESC_NA3991AA_AS",44
"ESC_NA3992AA_AS",85999,"ESC_NA3992AA_AS",47
"ESC_NA3993AA_AS",88538,"ESC_NA3993AA_AS",48
"ESC_NA3994AA_AS",27166,"ESC_NA3994AA_AS",15
"ESC_NA3995AA_AS",13355,"ESC_NA3995AA_AS",7
