"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESC_NA4003AA_AS","ESC_NA4004AA_AS","ESC_NA4005AA_AS","ESC_NA4045AA_AS"
"group_1013","","amino acid-binding protein","4","4","1","41","6","","","","386","386","386","LOCUS_47900","f76cef297a7dedb9150c88bc61db4d5a_4959","d0dc75faf82af35216c4087e568ab6aa_4837","e27c64c29733013eb4c363b5c7ab13b8_4909"
"group_1014","","transcriptional regulatory protein","4","4","1","6","110","","","","719","719","719","LOCUS_41550","f76cef297a7dedb9150c88bc61db4d5a_1597","d0dc75faf82af35216c4087e568ab6aa_4364","e27c64c29733013eb4c363b5c7ab13b8_798"
"pfkB","","ATP-dependent 6-phosphofructokinase isozyme 2","4","4","1","2","333","","","","932","932","932","LOCUS_01790","f76cef297a7dedb9150c88bc61db4d5a_288","d0dc75faf82af35216c4087e568ab6aa_94","e27c64c29733013eb4c363b5c7ab13b8_615"
"nuoA","","NADH-quinone oxidoreductase subunit A","4","4","1","10","51","","","","443","443","443","LOCUS_18650","f76cef297a7dedb9150c88bc61db4d5a_2093","d0dc75faf82af35216c4087e568ab6aa_2845","e27c64c29733013eb4c363b5c7ab13b8_3406"
"citG","","2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase","4","4","1","1","264","","","","878","878","878","LOCUS_17410","f76cef297a7dedb9150c88bc61db4d5a_2476","d0dc75faf82af35216c4087e568ab6aa_1848","e27c64c29733013eb4c363b5c7ab13b8_2005"
"group_1018","","phosphoribulokinase","4","4","1","15","37","","","","869","869","869","LOCUS_38630","f76cef297a7dedb9150c88bc61db4d5a_2710","d0dc75faf82af35216c4087e568ab6aa_3655","e27c64c29733013eb4c363b5c7ab13b8_2658"
"group_1019","","hypothetical protein","4","4","1","2","409","","","","467","467","467","LOCUS_01030","f76cef297a7dedb9150c88bc61db4d5a_366","d0dc75faf82af35216c4087e568ab6aa_987","e27c64c29733013eb4c363b5c7ab13b8_1769"
"group_102","","hypothetical protein","4","4","1","14","93","","","","167","242","204","LOCUS_26400","f76cef297a7dedb9150c88bc61db4d5a_3301","d0dc75faf82af35216c4087e568ab6aa_164","e27c64c29733013eb4c363b5c7ab13b8_2076"
"group_1020","","endolysin","4","4","1","8","91","","","","629","629","629","LOCUS_32960","f76cef297a7dedb9150c88bc61db4d5a_4257","d0dc75faf82af35216c4087e568ab6aa_4848","e27c64c29733013eb4c363b5c7ab13b8_1925"
"msrA","","peptide methionine sulfoxide reductase MsrA","4","4","1","11","147","","","","638","638","638","LOCUS_27270","f76cef297a7dedb9150c88bc61db4d5a_2348","d0dc75faf82af35216c4087e568ab6aa_2113","e27c64c29733013eb4c363b5c7ab13b8_3230"
"group_1022","","membrane protein","4","4","1","11","155","","","","965","965","965","LOCUS_27350","f76cef297a7dedb9150c88bc61db4d5a_2356","d0dc75faf82af35216c4087e568ab6aa_2121","e27c64c29733013eb4c363b5c7ab13b8_3222"
"rcsA","","transcriptional regulatory protein RcsA","4","4","1","2","122","","","","623","623","623","LOCUS_41920","f76cef297a7dedb9150c88bc61db4d5a_73","d0dc75faf82af35216c4087e568ab6aa_3717","e27c64c29733013eb4c363b5c7ab13b8_3776"
"sotB","","putative sugar efflux transporter","4","4","1","2","488","","","","1190","1190","1190","LOCUS_00210","f76cef297a7dedb9150c88bc61db4d5a_448","d0dc75faf82af35216c4087e568ab6aa_2562","e27c64c29733013eb4c363b5c7ab13b8_1687"
"group_1025","","type VI secretion protein","4","4","1","32","3","","","","503","503","503","LOCUS_43450","f76cef297a7dedb9150c88bc61db4d5a_4537","d0dc75faf82af35216c4087e568ab6aa_3902","e27c64c29733013eb4c363b5c7ab13b8_4339"
"rplK","","50S ribosomal protein L11","4","4","1","29","7","","","","428","428","428","LOCUS_35510","f76cef297a7dedb9150c88bc61db4d5a_4206","d0dc75faf82af35216c4087e568ab6aa_3035","e27c64c29733013eb4c363b5c7ab13b8_4282"
"yfeK","","hypothetical protein","4","4","1","8","199","","","","368","368","368","LOCUS_08860","f76cef297a7dedb9150c88bc61db4d5a_3073","d0dc75faf82af35216c4087e568ab6aa_1538","e27c64c29733013eb4c363b5c7ab13b8_1857"
"group_1028","","secreted protein Hcp","4","4","1","3","174","","","","491","491","491","LOCUS_42550","f76cef297a7dedb9150c88bc61db4d5a_732","d0dc75faf82af35216c4087e568ab6aa_3850","e27c64c29733013eb4c363b5c7ab13b8_174"
"group_1029","","ABC transporter permease","4","4","1","1","331","","","","941","941","941","LOCUS_25550","f76cef297a7dedb9150c88bc61db4d5a_3713","d0dc75faf82af35216c4087e568ab6aa_2214","e27c64c29733013eb4c363b5c7ab13b8_1106"
"eptB","","phosphoethanolamine transferase","4","4","1","14","85","","","","1649","1691","1680","LOCUS_26480","f76cef297a7dedb9150c88bc61db4d5a_3310","d0dc75faf82af35216c4087e568ab6aa_173","e27c64c29733013eb4c363b5c7ab13b8_2085"
"group_1030","","hypothetical protein","4","4","1","22","48","","","","1316","1316","1316","LOCUS_25110","f76cef297a7dedb9150c88bc61db4d5a_4515","d0dc75faf82af35216c4087e568ab6aa_4033","e27c64c29733013eb4c363b5c7ab13b8_3539"
"thiI","","tRNA sulfurtransferase","4","4","1","1","529","","","","1448","1448","1448","LOCUS_24020","f76cef297a7dedb9150c88bc61db4d5a_1794","d0dc75faf82af35216c4087e568ab6aa_1384","e27c64c29733013eb4c363b5c7ab13b8_1355"
"group_1032","","hypothetical protein","4","4","1","1","848","","","","200","200","200","LOCUS_02320","f76cef297a7dedb9150c88bc61db4d5a_2903","d0dc75faf82af35216c4087e568ab6aa_3168","e27c64c29733013eb4c363b5c7ab13b8_2366"
"yajC","","UPF0092 membrane protein YajC","4","4","1","1","513","","","","332","332","332","LOCUS_23860","f76cef297a7dedb9150c88bc61db4d5a_1778","d0dc75faf82af35216c4087e568ab6aa_1368","e27c64c29733013eb4c363b5c7ab13b8_1371"
"group_1034","","phage portal vertex protein","4","4","1","9","84","","","","1034","1034","1034","LOCUS_39050","f76cef297a7dedb9150c88bc61db4d5a_1495","d0dc75faf82af35216c4087e568ab6aa_3499","e27c64c29733013eb4c363b5c7ab13b8_2676"
"argB","","acetylglutamate kinase","4","4","1","13","81","","","","773","773","773","LOCUS_36210","f76cef297a7dedb9150c88bc61db4d5a_4228","d0dc75faf82af35216c4087e568ab6aa_3309","e27c64c29733013eb4c363b5c7ab13b8_3857"
"group_1036","","lipoprotein","4","4","1","2","144","","","","413","413","413","LOCUS_28890","f76cef297a7dedb9150c88bc61db4d5a_95","d0dc75faf82af35216c4087e568ab6aa_2338","e27c64c29733013eb4c363b5c7ab13b8_3754"
"group_1037","","DNA-binding transcriptional regulator DsdC","4","4","1","8","149","","","","935","935","935","LOCUS_44050","f76cef297a7dedb9150c88bc61db4d5a_3019","d0dc75faf82af35216c4087e568ab6aa_4121","e27c64c29733013eb4c363b5c7ab13b8_1803"
"group_1038","","cystine ABC transporter substrate-binding protein","4","4","1","2","152","","","","800","800","800","LOCUS_28970","f76cef297a7dedb9150c88bc61db4d5a_103","d0dc75faf82af35216c4087e568ab6aa_2330","e27c64c29733013eb4c363b5c7ab13b8_3746"
"epd","","D-erythrose-4-phosphate dehydrogenase","4","4","1","3","46","","","","1019","1019","1019","LOCUS_24550","f76cef297a7dedb9150c88bc61db4d5a_2032","d0dc75faf82af35216c4087e568ab6aa_637","e27c64c29733013eb4c363b5c7ab13b8_44"
"rtcB","","RNA-splicing ligase RtcB","4","4","1","15","95","","","","1226","1289","1241","LOCUS_26590","f76cef297a7dedb9150c88bc61db4d5a_2768","d0dc75faf82af35216c4087e568ab6aa_1695","e27c64c29733013eb4c363b5c7ab13b8_2600"
"citD","","citrate lyase acyl carrier protein","4","4","1","1","260","","","","296","296","296","LOCUS_17370","f76cef297a7dedb9150c88bc61db4d5a_2480","d0dc75faf82af35216c4087e568ab6aa_1852","e27c64c29733013eb4c363b5c7ab13b8_2001"
"group_1041","","aldolase","4","4","1","12","102","","","","851","851","851","LOCUS_32330","f76cef297a7dedb9150c88bc61db4d5a_2270","d0dc75faf82af35216c4087e568ab6aa_2658","e27c64c29733013eb4c363b5c7ab13b8_1565"
"yejM","","inner membrane protein YejM","4","4","1","10","78","","","","1760","1760","1760","LOCUS_12820","f76cef297a7dedb9150c88bc61db4d5a_4171","d0dc75faf82af35216c4087e568ab6aa_3434","e27c64c29733013eb4c363b5c7ab13b8_2931"
"pyrH","","uridylate kinase","4","4","1","19","46","","","","725","725","725","LOCUS_11910","f76cef297a7dedb9150c88bc61db4d5a_3608","d0dc75faf82af35216c4087e568ab6aa_1659","e27c64c29733013eb4c363b5c7ab13b8_2889"
"group_1044","","dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex","4","4","1","6","193","","","","1154","1154","1154","LOCUS_15580","f76cef297a7dedb9150c88bc61db4d5a_1681","d0dc75faf82af35216c4087e568ab6aa_1337","e27c64c29733013eb4c363b5c7ab13b8_882"
"yeiP","","elongation factor P-like protein","4","4","1","9","175","","","","572","572","572","LOCUS_33950","f76cef297a7dedb9150c88bc61db4d5a_1399","d0dc75faf82af35216c4087e568ab6aa_550","e27c64c29733013eb4c363b5c7ab13b8_2395"
"fsaA","","fructose-6-phosphate aldolase","4","4","1","5","102","","","","662","662","662","LOCUS_06510","f76cef297a7dedb9150c88bc61db4d5a_1060","d0dc75faf82af35216c4087e568ab6aa_656","e27c64c29733013eb4c363b5c7ab13b8_477"
"group_1047","","type VI secretion-associated protein","4","4","1","3","165","","","","1625","1625","1625","LOCUS_42460","f76cef297a7dedb9150c88bc61db4d5a_742","d0dc75faf82af35216c4087e568ab6aa_3860","e27c64c29733013eb4c363b5c7ab13b8_165"
"gatB","","PTS galactitol transporter subunit IIB","4","4","1","9","102","","","","284","284","284","LOCUS_30990","f76cef297a7dedb9150c88bc61db4d5a_1477","d0dc75faf82af35216c4087e568ab6aa_473","e27c64c29733013eb4c363b5c7ab13b8_2472"
"ypdH","","fructose-like phosphotransferase enzyme IIB component 1","4","4","1","8","172","","","","326","326","326","LOCUS_08600","f76cef297a7dedb9150c88bc61db4d5a_3042","d0dc75faf82af35216c4087e568ab6aa_1506","e27c64c29733013eb4c363b5c7ab13b8_1826"
"ytfH","","HxlR family transcriptional regulator","4","4","1","11","153","","","","380","470","402","LOCUS_27330","f76cef297a7dedb9150c88bc61db4d5a_2354","d0dc75faf82af35216c4087e568ab6aa_2119","e27c64c29733013eb4c363b5c7ab13b8_3224"
"group_1050","","transposase","4","4","1","36","10","","","","887","887","887","LOCUS_45040","f76cef297a7dedb9150c88bc61db4d5a_4722","d0dc75faf82af35216c4087e568ab6aa_4289","e27c64c29733013eb4c363b5c7ab13b8_4662"
"yhfA","","protein YhfA","4","4","1","15","38","","","","404","404","404","LOCUS_38640","f76cef297a7dedb9150c88bc61db4d5a_2711","d0dc75faf82af35216c4087e568ab6aa_3654","e27c64c29733013eb4c363b5c7ab13b8_2657"
"phnK","","phosphonate C-P lyase system protein PhnK","4","4","1","6","135","","","","758","758","758","LOCUS_40080","f76cef297a7dedb9150c88bc61db4d5a_1622","d0dc75faf82af35216c4087e568ab6aa_1278","e27c64c29733013eb4c363b5c7ab13b8_823"
"group_1053","","hypothetical protein","4","4","1","11","6","","","","575","575","575","LOCUS_47570","f76cef297a7dedb9150c88bc61db4d5a_4622","d0dc75faf82af35216c4087e568ab6aa_4492","e27c64c29733013eb4c363b5c7ab13b8_4617"
"group_1054","","hypothetical protein","4","4","1","3","115","","","","497","497","497","LOCUS_19330","f76cef297a7dedb9150c88bc61db4d5a_1962","d0dc75faf82af35216c4087e568ab6aa_567","e27c64c29733013eb4c363b5c7ab13b8_114"
"rcsB","","transcriptional regulatory protein RcsB","4","4","1","10","105","","","","650","650","650","LOCUS_12550","f76cef297a7dedb9150c88bc61db4d5a_2161","d0dc75faf82af35216c4087e568ab6aa_2863","e27c64c29733013eb4c363b5c7ab13b8_2959"
"yghD","","putative type II secretion system M-type protein YghD","4","4","1","33","5","","","","536","536","536","LOCUS_45350","f76cef297a7dedb9150c88bc61db4d5a_4669","d0dc75faf82af35216c4087e568ab6aa_4304","e27c64c29733013eb4c363b5c7ab13b8_4593"
"group_1057","","late gene antiterminator protein","4","4","1","8","60","","","","518","518","518","LOCUS_32660","f76cef297a7dedb9150c88bc61db4d5a_4030","d0dc75faf82af35216c4087e568ab6aa_2936","e27c64c29733013eb4c363b5c7ab13b8_4094"
"group_1058","","universal stress protein","4","4","1","2","172","","","","428","428","428","LOCUS_29170","f76cef297a7dedb9150c88bc61db4d5a_126","d0dc75faf82af35216c4087e568ab6aa_2307","e27c64c29733013eb4c363b5c7ab13b8_776"
"yfbV","","UPF0208 membrane protein YfbV","4","4","1","10","44","","","","455","455","455","LOCUS_18720","f76cef297a7dedb9150c88bc61db4d5a_2086","d0dc75faf82af35216c4087e568ab6aa_2428","e27c64c29733013eb4c363b5c7ab13b8_3399"
"group_106","","PIG-L domain-containing protein","4","4","1","25","1","","","","671","686","674","LOCUS_28000","f76cef297a7dedb9150c88bc61db4d5a_3786","d0dc75faf82af35216c4087e568ab6aa_2384","e27c64c29733013eb4c363b5c7ab13b8_3728"
"group_1060","","hypothetical protein","4","4","1","6","59","","","","158","158","158","LOCUS_34360","f76cef297a7dedb9150c88bc61db4d5a_4005","d0dc75faf82af35216c4087e568ab6aa_2777","e27c64c29733013eb4c363b5c7ab13b8_3879"
"group_1061","","membrane protein","4","4","1","2","330","","","","536","536","536","LOCUS_01820","f76cef297a7dedb9150c88bc61db4d5a_285","d0dc75faf82af35216c4087e568ab6aa_91","e27c64c29733013eb4c363b5c7ab13b8_618"
"yiiT","","universal stress protein","4","4","1","13","63","","","","428","428","428","LOCUS_15060","f76cef297a7dedb9150c88bc61db4d5a_3372","d0dc75faf82af35216c4087e568ab6aa_1247","e27c64c29733013eb4c363b5c7ab13b8_3088"
"sdaB","","L-serine ammonia-lyase","4","4","1","3","197","","","","1367","1367","1367","LOCUS_08320","f76cef297a7dedb9150c88bc61db4d5a_706","d0dc75faf82af35216c4087e568ab6aa_2496","e27c64c29733013eb4c363b5c7ab13b8_200"
"leuD","","3-isopropylmalate dehydratase small subunit","4","4","1","4","186","","","","605","605","605","LOCUS_28790","f76cef297a7dedb9150c88bc61db4d5a_1243","d0dc75faf82af35216c4087e568ab6aa_4404","e27c64c29733013eb4c363b5c7ab13b8_4720"
"ycaJ","","replication-associated recombination protein A","4","4","1","5","221","","","","1343","1343","1343","LOCUS_13800","f76cef297a7dedb9150c88bc61db4d5a_1183","d0dc75faf82af35216c4087e568ab6aa_860","e27c64c29733013eb4c363b5c7ab13b8_354"
"group_1066","","endopeptidase","4","4","1","23","16","","","","626","626","626","LOCUS_37920","f76cef297a7dedb9150c88bc61db4d5a_4109","d0dc75faf82af35216c4087e568ab6aa_2878","e27c64c29733013eb4c363b5c7ab13b8_4217"
"group_1067","","MFS transporter","4","4","1","2","500","","","","1187","1187","1187","LOCUS_00330","f76cef297a7dedb9150c88bc61db4d5a_436","d0dc75faf82af35216c4087e568ab6aa_2574","e27c64c29733013eb4c363b5c7ab13b8_1699"
"yhcO","","hypothetical protein","4","4","1","7","178","","","","272","272","272","LOCUS_05980","f76cef297a7dedb9150c88bc61db4d5a_788","d0dc75faf82af35216c4087e568ab6aa_2435","e27c64c29733013eb4c363b5c7ab13b8_1493"
"mdoD","","glucans biosynthesis protein D","4","4","1","1","346","","","","1619","1619","1619","LOCUS_25400","f76cef297a7dedb9150c88bc61db4d5a_3728","d0dc75faf82af35216c4087e568ab6aa_2199","e27c64c29733013eb4c363b5c7ab13b8_1121"
"lacA","","galactoside O-acetyltransferase","4","4","1","25","12","","","","620","662","651","LOCUS_28110","f76cef297a7dedb9150c88bc61db4d5a_3775","d0dc75faf82af35216c4087e568ab6aa_2373","e27c64c29733013eb4c363b5c7ab13b8_3717"
"fecB","","Fe(3+) dicitrate-binding periplasmic protein","4","4","1","6","43","","","","902","902","902","LOCUS_34200","f76cef297a7dedb9150c88bc61db4d5a_3989","d0dc75faf82af35216c4087e568ab6aa_2761","e27c64c29733013eb4c363b5c7ab13b8_4523"
"hdeA","","acid stress chaperone HdeA","4","4","1","17","30","","","","332","332","332","LOCUS_16680","f76cef297a7dedb9150c88bc61db4d5a_3513","d0dc75faf82af35216c4087e568ab6aa_4002","e27c64c29733013eb4c363b5c7ab13b8_4411"
"group_1072","","sugar ABC transporter substrate-binding protein","4","4","1","1","406","","","","1292","1292","1292","LOCUS_20530","f76cef297a7dedb9150c88bc61db4d5a_3165","d0dc75faf82af35216c4087e568ab6aa_404","e27c64c29733013eb4c363b5c7ab13b8_1181"
"group_1073","","hypothetical protein","4","4","1","14","40","","","","362","362","362","LOCUS_18160","f76cef297a7dedb9150c88bc61db4d5a_3902","d0dc75faf82af35216c4087e568ab6aa_218","e27c64c29733013eb4c363b5c7ab13b8_2131"
"pgtC","","phosphoglycerate transport regulatory protein PgtC","4","4","1","26","26","","","","1082","1082","1082","LOCUS_42950","f76cef297a7dedb9150c88bc61db4d5a_4442","d0dc75faf82af35216c4087e568ab6aa_3814","e27c64c29733013eb4c363b5c7ab13b8_4180"
"group_1075","","hypothetical protein","4","4","1","8","45","","","","299","299","299","LOCUS_32500","f76cef297a7dedb9150c88bc61db4d5a_4015","d0dc75faf82af35216c4087e568ab6aa_2921","e27c64c29733013eb4c363b5c7ab13b8_4079"
"group_1076","","hypothetical protein","4","4","1","18","30","","","","233","233","233","LOCUS_22010","f76cef297a7dedb9150c88bc61db4d5a_4603","d0dc75faf82af35216c4087e568ab6aa_4110","e27c64c29733013eb4c363b5c7ab13b8_3640"
"secM","","secretion monitor","4","4","1","4","162","","","","587","587","587","LOCUS_28550","f76cef297a7dedb9150c88bc61db4d5a_1219","d0dc75faf82af35216c4087e568ab6aa_2792","e27c64c29733013eb4c363b5c7ab13b8_4020"
"tpx","","putative thiol peroxidase","4","4","1","1","391","","","","506","506","506","LOCUS_20680","f76cef297a7dedb9150c88bc61db4d5a_3180","d0dc75faf82af35216c4087e568ab6aa_389","e27c64c29733013eb4c363b5c7ab13b8_1166"
"ilvE","","branched-chain-amino-acid aminotransferase","4","4","1","22","6","","","","929","929","929","LOCUS_24780","f76cef297a7dedb9150c88bc61db4d5a_3940","d0dc75faf82af35216c4087e568ab6aa_2673","e27c64c29733013eb4c363b5c7ab13b8_3502"
"ilvH","","acetolactate synthase small subunit","4","4","1","4","180","","","","491","521","498","LOCUS_28730","f76cef297a7dedb9150c88bc61db4d5a_1237","d0dc75faf82af35216c4087e568ab6aa_2810","e27c64c29733013eb4c363b5c7ab13b8_4002"
"lolE","","lipoprotein transporter subunit LolE","4","4","1","1","878","","","","1244","1244","1244","LOCUS_02610","f76cef297a7dedb9150c88bc61db4d5a_2874","d0dc75faf82af35216c4087e568ab6aa_3138","e27c64c29733013eb4c363b5c7ab13b8_2337"
"group_1081","","6-phospho-3-hexuloisomerase","4","4","1","21","37","","","","557","557","557","LOCUS_33000","f76cef297a7dedb9150c88bc61db4d5a_3897","d0dc75faf82af35216c4087e568ab6aa_2147","e27c64c29733013eb4c363b5c7ab13b8_3999"
"yceG","","cell division protein YceG","4","4","1","1","160","","","","1022","1022","1022","LOCUS_02830","f76cef297a7dedb9150c88bc61db4d5a_2852","d0dc75faf82af35216c4087e568ab6aa_1865","e27c64c29733013eb4c363b5c7ab13b8_2315"
"asnA","","aspartate--ammonia ligase","4","4","1","12","13","","","","992","992","992","LOCUS_11300","f76cef297a7dedb9150c88bc61db4d5a_2180","d0dc75faf82af35216c4087e568ab6aa_3248","e27c64c29733013eb4c363b5c7ab13b8_1655"
"group_1084","","multidrug transporter","4","4","1","1","421","","","","1373","1373","1373","LOCUS_20380","f76cef297a7dedb9150c88bc61db4d5a_3150","d0dc75faf82af35216c4087e568ab6aa_419","e27c64c29733013eb4c363b5c7ab13b8_1196"
"group_1085","yceF","Maf-like protein YceF","4","4","1","7","185","","","","593","593","593","LOCUS_31290","f76cef297a7dedb9150c88bc61db4d5a_781","d0dc75faf82af35216c4087e568ab6aa_2442","e27c64c29733013eb4c363b5c7ab13b8_1500"
"group_1086","","oxidoreductase FeS-binding subunit","4","4","1","8","122","","","","1979","1979","1979","LOCUS_09230","f76cef297a7dedb9150c88bc61db4d5a_3110","d0dc75faf82af35216c4087e568ab6aa_4274","e27c64c29733013eb4c363b5c7ab13b8_1894"
"ykgH","","hypothetical protein","4","4","1","28","6","","","","668","668","668","LOCUS_39490","f76cef297a7dedb9150c88bc61db4d5a_3791","d0dc75faf82af35216c4087e568ab6aa_4480","e27c64c29733013eb4c363b5c7ab13b8_4478"
"group_1088","","hypothetical protein","4","4","1","10","79","","","","485","485","485","LOCUS_12810","f76cef297a7dedb9150c88bc61db4d5a_4169","d0dc75faf82af35216c4087e568ab6aa_3432","e27c64c29733013eb4c363b5c7ab13b8_2933"
"rplV","","50S ribosomal protein L22","4","4","1","24","42","","","","332","332","332","LOCUS_40620","f76cef297a7dedb9150c88bc61db4d5a_4293","d0dc75faf82af35216c4087e568ab6aa_3536","e27c64c29733013eb4c363b5c7ab13b8_4375"
"group_109","","DNA-binding response regulator","4","4","1","2","108","","","","719","782","766","LOCUS_29370","f76cef297a7dedb9150c88bc61db4d5a_59","d0dc75faf82af35216c4087e568ab6aa_2521","e27c64c29733013eb4c363b5c7ab13b8_3209"
"hybD","","hydrogenase 2 maturation endopeptidase","4","4","1","20","51","","","","494","494","494","LOCUS_31670","f76cef297a7dedb9150c88bc61db4d5a_3489","d0dc75faf82af35216c4087e568ab6aa_2623","e27c64c29733013eb4c363b5c7ab13b8_2786"
"yraN","","UPF0102 protein YraN","4","4","1","7","97","","","","395","395","395","LOCUS_05170","f76cef297a7dedb9150c88bc61db4d5a_871","d0dc75faf82af35216c4087e568ab6aa_765","e27c64c29733013eb4c363b5c7ab13b8_1410"
"shiF","","MFS transporter","4","4","1","39","8","","","","1193","1193","1193","LOCUS_45410","f76cef297a7dedb9150c88bc61db4d5a_4776","d0dc75faf82af35216c4087e568ab6aa_4845","e27c64c29733013eb4c363b5c7ab13b8_4710"
"rnhB","","ribonuclease HII","4","4","1","19","34","","","","596","596","596","LOCUS_12030","f76cef297a7dedb9150c88bc61db4d5a_3596","d0dc75faf82af35216c4087e568ab6aa_1647","e27c64c29733013eb4c363b5c7ab13b8_2901"
"group_1094","","DTW domain-containing protein","4","4","1","16","10","","","","530","530","530","LOCUS_13610","f76cef297a7dedb9150c88bc61db4d5a_3267","d0dc75faf82af35216c4087e568ab6aa_3331","e27c64c29733013eb4c363b5c7ab13b8_2251"
"group_1095","","membrane protein","4","4","1","32","25","","","","764","764","764","LOCUS_43370","f76cef297a7dedb9150c88bc61db4d5a_4529","d0dc75faf82af35216c4087e568ab6aa_3894","e27c64c29733013eb4c363b5c7ab13b8_4331"
